2016-11-03 11:49:17,287 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Team4_Servlet_BigData:Team4_Servlet_BigData:0.0.1-SNAPSHOT @ C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\pom.xml.
2016-11-03 11:49:22,864 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:49:22,874 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 11:49:22,878 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:49:22,885 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 11:49:22,965 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Team4_Servlet_BigData/src
2016-11-03 11:49:22,966 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Team4_Servlet_BigData/src/test/java because it overlaps with /Team4_Servlet_BigData/src
2016-11-03 11:49:24,194 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-11-03 11:49:24,907 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Team4_Servlet_BigData:Team4_Servlet_BigData:0.0.1-SNAPSHOT @ C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\pom.xml.
2016-11-03 11:49:26,770 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Team4_Servlet_BigData/src
2016-11-03 11:49:26,771 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Team4_Servlet_BigData/src/test/java because it overlaps with /Team4_Servlet_BigData/src
2016-11-03 11:49:27,347 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Team4_Servlet_BigData
2016-11-03 11:49:27,385 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2016-11-03 11:49:27,702 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
